"id","job_category","salary","join_date","exit_date","attrition","exit_reason"
2,Tech,12000.00,2025-05-30,,false,
3,Tech,9000.00,2020-06-22,,false,
4,Management,10000.00,2024-07-08,,false,
5,Tech,6000.00,2021-08-03,,false,
7,Creative,4000.00,2021-02-12,,false,
8,Management,13000.00,2014-11-10,,false,
9,Tech,15000.00,2025-01-28,,false,
11,Tech,5000.00,2025-05-08,,false,
12,Management,10000.00,2021-09-01,,false,
15,Management,7000.00,2025-05-05,,false,
16,Creative,7000.00,2022-01-15,,false,
17,Tech,12000.00,2021-10-18,,false,
20,Tech,7000.00,2021-10-04,,false,
22,Tech,4000.00,2025-04-28,,false,
23,Tech,3000.00,2024-02-05,,false,
26,Tech,12000.00,2025-06-23,,false,
27,Tech,8000.00,2025-02-17,,false,
28,Tech,7000.00,2022-07-11,,false,
31,Operations,7500.00,2021-02-04,,false,
33,Tech,10000.00,2022-09-05,,false,
34,Management,5000.00,2022-07-11,,false,
35,Tech,4500.00,2021-10-05,,false,
36,Creative,5500.00,2021-05-30,,false,
40,Tech,6000.00,2022-04-25,,false,
41,Tech,9000.00,2025-06-06,,false,
42,Creative,7000.00,2020-01-06,,false,
43,Tech,10000.00,2022-04-04,,false,
44,Management,15000.00,2018-07-18,,false,
45,Tech,3000.00,2023-01-23,,false,
10,Operations,5000.00,2018-04-30,2025-07-08,true,involuntario
13,Creative,5000.00,2015-08-17,2025-07-08,true,involuntario
29,Operations,3500.00,2025-05-05,2025-07-08,true,involuntario
30,Management,11000.00,2022-05-09,2025-03-05,true,involuntario
39,Operations,3500.00,2025-03-24,2025-04-30,true,involuntario
48,Tech,7000.00,2022-04-01,2025-01-09,true,involuntario
49,Tech,11000.00,2021-09-20,2025-03-05,true,involuntario
1,Tech,16000.00,2020-11-26,2024-12-01,true,voluntario
6,Tech,5000.00,2024-02-26,2024-11-27,true,voluntario
14,Tech,4500.00,2021-05-03,2025-03-06,true,voluntario
18,Tech,8000.00,2022-02-01,2025-03-14,true,voluntario
19,Tech,11000.00,2021-12-01,2025-03-07,true,voluntario
21,Tech,10000.00,2024-05-13,2025-02-20,true,voluntario
24,Tech,8000.00,2024-02-19,2025-01-21,true,voluntario
25,Tech,6000.00,2021-09-15,2025-06-20,true,voluntario
32,Creative,7000.00,2021-08-16,2025-06-06,true,voluntario
37,Operations,3000.00,2025-03-24,2025-04-08,true,voluntario
38,Tech,8500.00,2021-05-24,2025-02-05,true,voluntario
46,Tech,11000.00,2016-10-03,2025-07-01,true,voluntario
47,Tech,14000.00,2019-02-05,2025-06-27,true,voluntario
50,Management,6500.00,2023-02-08,2024-08-21,true,voluntario
